company_id;year;ROE;ROA;ise_entry;already_on_ise
AES BRASIL;2003;45,2;-20,82;2008;0
AES BRASIL;2004;29,21;-19,47;2008;0
AES BRASIL;2005;-26,46;9,28;2008;0
AES BRASIL;2006;11,25;2,29;2008;0
AES BRASIL;2007;-8,09;-1,52;2008;0
AES BRASIL;2008;18,15;3,45;2008;1
AES BRASIL;2009;18,02;3,67;2008;1
AES BRASIL;2010;24,04;9,81;2008;1
AES BRASIL;2011;33,1;15,51;2008;1
AES BRASIL;2012;11,39;5,09;2008;1
AMERICANAS SA;2010;14,87;1,05;2015;0
AMERICANAS SA;2011;-7,83;-2,18;2015;0
AMERICANAS SA;2012;-17,61;-3,57;2015;0
AMERICANAS SA;2013;-19,23;-2,41;2015;0
AMERICANAS SA;2014;-5,3;-2,14;2015;0
AMERICANAS SA;2015;-15,46;-4,21;2015;1
AMERICANAS SA;2016;-15,79;-4,74;2015;1
AMERICANAS SA;2017;-10,54;-3,26;2015;1
AMERICANAS SA;2018;-11,25;-3,05;2015;1
AMERICANAS SA;2019;-5,55;-1,98;2015;1
BANCO DO BRASIL;2001;12,37;0,66;2006;0
BANCO DO BRASIL;2002;22,05;0,99;2006;0
BANCO DO BRASIL;2003;19,56;1,03;2006;0
BANCO DO BRASIL;2004;21,44;1,27;2006;0
BANCO DO BRASIL;2005;24,65;1,64;2006;0
BANCO DO BRASIL;2006;29,12;2,04;2006;1
BANCO DO BRASIL;2007;20,85;1,41;2006;1
BANCO DO BRASIL;2008;29,4;1,69;2006;1
BANCO DO BRASIL;2009;28,09;1,43;2006;1
BANCO DO BRASIL;2010;20,82;1,41;2006;1
BRADESCO;2001;22,22;2,6;2006;0
BRADESCO;2002;18,65;1,42;2006;0
BRADESCO;2003;17,02;1,31;2006;0
BRADESCO;2004;20,11;1,65;2006;0
BRADESCO;2005;28,41;2,64;2006;0
BRADESCO;2006;20,51;1,9;2006;1
BRADESCO;2007;26,38;2,35;2006;1
BRADESCO;2008;22,24;1,68;2006;1
BRADESCO;2009;19,19;1,58;2006;1
BRADESCO;2010;19,65;1,67;2006;1
BRASKEM;2001;-1,33;-0,51;2006;0
BRASKEM;2002;-52,57;-6,8;2006;0
BRASKEM;2003;10,18;1,55;2006;0
BRASKEM;2004;16,5;4,64;2006;0
BRASKEM;2005;13,8;4,01;2006;0
BRASKEM;2006;2,35;0,62;2006;1
BRASKEM;2007;9,51;2,62;2006;1
BRASKEM;2008;-67,72;-10,98;2006;1
BRASKEM;2009;19,34;4,15;2006;1
BRASKEM;2010;18,15;5,48;2006;1
BRF SA;2006;5,57;2,43;2011;0
BRF SA;2007;9,96;4,91;2011;0
BRF SA;2008;1,32;0,48;2011;0
BRF SA;2009;0,92;0,47;2011;0
BRF SA;2010;5,9;2,9;2011;0
BRF SA;2011;9,67;4,55;2011;1
BRF SA;2012;5,63;2,67;2011;1
BRF SA;2013;7,26;3,3;2011;1
BRF SA;2014;14,18;6,16;2011;1
BRF SA;2015;22,63;7,75;2011;1
CCR SA ;2007;36,07;13,8;2012;0
CCR SA ;2008;45,21;11,38;2012;0
CCR SA ;2009;22,05;6,98;2012;0
CCR SA ;2010;21,57;5,31;2012;0
CCR SA ;2011;28,34;7,09;2012;0
CCR SA ;2012;35,46;8,33;2012;1
CCR SA ;2013;39,24;9,75;2012;1
CCR SA ;2014;36,77;7,84;2012;1
CCR SA ;2015;20,15;3,63;2012;1
CCR SA ;2016;39,51;6,67;2012;1
CEMIG;2001;6,92;3,62;2006;0
CEMIG;2002;-17,64;-7,25;2006;0
CEMIG;2003;18,26;7,97;2006;0
CEMIG;2004;19,1;8,25;2006;0
CEMIG;2005;27,88;10,1;2006;0
CEMIG;2006;22,85;7,41;2006;1
CEMIG;2007;20,68;7,15;2006;1
CEMIG;2008;20,18;7,75;2006;1
CEMIG;2009;18,11;6,45;2006;1
CEMIG;2010;19,68;6,73;2006;1
CESP;2003;8,83;3,17;2008;0
CESP;2004;0,48;0,17;2008;0
CESP;2005;-2,77;-1,01;2008;0
CESP;2006;-1,17;-0,6;2008;0
CESP;2007;1,73;0,91;2008;0
CESP;2008;-29,75;-13,78;2008;1
CESP;2009;8,95;4,67;2008;1
CESP;2010;0,89;0,49;2008;1
CESP;2011;1,07;0,6;2008;1
CESP;2012;1,5;0,88;2008;1
CIELO;2009;178,26;51,68;2014;0
CIELO;2010;153,31;48,55;2014;0
CIELO;2011;127,54;35,76;2014;0
CIELO;2012;101,51;23,12;2014;0
CIELO;2013;80,46;20,14;2014;0
CIELO;2014;74,67;17,29;2014;1
CIELO;2015;35,93;12,18;2014;1
CIELO;2016;32,42;13,7;2014;1
CIELO;2017;27,76;4,83;2014;1
CIELO;2018;23,94;4,31;2014;1
COELCE;2002;7,12;3,32;2007;0
COELCE;2003;8,04;3,74;2007;0
COELCE;2004;3,19;1,53;2007;0
COELCE;2005;25,77;7,88;2007;0
COELCE;2006;38,22;11,88;2007;0
COELCE;2007;28,78;9,49;2007;1
COELCE;2008;36,91;12,17;2007;1
COELCE;2009;32,2;11,61;2007;1
COELCE;2010;34,78;15,34;2007;1
COELCE;2011;32,03;14,05;2007;1
COPEL;2005;9,16;4,59;2010;0
COPEL;2006;19,49;10,41;2010;0
COPEL;2007;15,29;8,95;2010;0
COPEL;2008;13,4;8,14;2010;0
COPEL;2009;11,62;7,42;2010;0
COPEL;2010;8,94;5,66;2010;1
COPEL;2011;9,75;6,15;2010;1
COPEL;2012;5,81;3,43;2010;1
COPEL;2013;8,52;4,77;2010;1
COPEL;2014;9,76;5,21;2010;1
CPFL;2001;42,45;-9,48;2006;0
CPFL;2002;-32,35;-5,63;2006;0
CPFL;2003;-8,74;-2,47;2006;0
CPFL;2004;6,81;2,21;2006;0
CPFL;2005;21,29;7,37;2006;0
CPFL;2006;28,85;9,99;2006;1
CPFL;2007;33,17;10,54;2006;1
CPFL;2008;25,42;7,85;2006;1
CPFL;2009;25,31;7,63;2006;1
CPFL;2010;23,11;7,78;2006;1
ECORODOVIAS;2007;29,77;11,42;2012;0
ECORODOVIAS;2008;22,29;6,83;2012;0
ECORODOVIAS;2009;30,5;6,55;2012;0
ECORODOVIAS;2010;33,23;14,26;2012;0
ECORODOVIAS;2011;20,56;9,32;2012;0
ECORODOVIAS;2012;20,09;6,89;2012;1
ECORODOVIAS;2013;19,04;6,15;2012;1
ECORODOVIAS;2014;26,58;7,08;2012;1
ECORODOVIAS;2015;7,07;1,47;2012;1
ECORODOVIAS;2016;-165,77;-14,37;2012;1
EDP;2010;11,41;5,75;2015;0
EDP;2011;10,56;5,06;2015;0
EDP;2012;8,4;3,7;2015;0
EDP;2013;8,86;3,92;2015;0
EDP;2014;12,77;6,36;2015;0
EDP;2015;18,78;7,64;2015;1
EDP;2016;9,25;4,32;2015;1
EDP;2017;7,62;3,34;2015;1
EDP;2018;14,62;6,21;2015;1
EDP;2019;14,35;5,39;2015;1
ELETROBRAS;2003;0,48;0,27;2008;0
ELETROBRAS;2004;1,85;1,09;2008;0
ELETROBRAS;2005;1,29;0,81;2008;0
ELETROBRAS;2006;1,49;0,95;2008;0
ELETROBRAS;2007;1,94;1,28;2008;0
ELETROBRAS;2008;7,17;4,44;2008;1
ELETROBRAS;2009;0,22;0,13;2008;1
ELETROBRAS;2010;3,62;1,74;2008;1
ELETROBRAS;2011;4,87;2,31;2008;1
ELETROBRAS;2012;-10,29;-4,02;2008;1
ELETROPAULO;2001;19,11;4,97;2006;0
ELETROPAULO;2002;-41,36;-7,54;2006;0
ELETROPAULO;2003;3,93;0,75;2006;0
ELETROPAULO;2004;0,26;0,05;2006;0
ELETROPAULO;2005;-9,43;-1,66;2006;0
ELETROPAULO;2006;17;3,33;2006;1
ELETROPAULO;2007;21,45;5,86;2006;1
ELETROPAULO;2008;31,14;8,18;2006;1
ELETROPAULO;2009;32,4;8,97;2006;1
ELETROPAULO;2010;36,06;11,83;2006;1
ENGIE;2011;26,57;11,71;2016;0
ENGIE;2012;27,46;12,23;2016;0
ENGIE;2013;26,78;11,35;2016;0
ENGIE;2014;24,46;10,15;2016;0
ENGIE;2015;22,6;9,81;2016;0
ENGIE;2016;23,41;10,74;2016;1
ENGIE;2017;29,33;10,24;2016;1
ENGIE;2018;36,63;9,76;2016;1
ENGIE;2019;33,02;7,67;2016;1
ENGIE;2020;36,13;7,95;2016;1
EVEN;2005;10,44;1,42;2010;0
EVEN;2006;18,1;5,39;2010;0
EVEN;2007;4,59;2,72;2010;0
EVEN;2008;7,57;3,44;2010;0
EVEN;2009;14,05;5,48;2010;0
EVEN;2010;18,09;7,92;2010;1
EVEN;2011;14,6;6,67;2010;1
EVEN;2012;14,99;7,17;2010;1
EVEN;2013;14,18;6,83;2010;1
EVEN;2014;11,32;5,61;2010;1
FIBRIA;2006;12,82;6,43;2011;0
FIBRIA;2007;14,86;7,12;2011;0
FIBRIA;2008;-31,71;-10,24;2011;0
FIBRIA;2009;5,57;1,97;2011;0
FIBRIA;2010;3,92;2;2011;0
FIBRIA;2011;-5,97;-3,12;2011;1
FIBRIA;2012;-4,59;-2,48;2011;1
FIBRIA;2013;-4,81;-2,61;2011;1
FIBRIA;2014;1,11;0,64;2011;1
FIBRIA;2015;2,79;1,21;2011;1
FLEURY;2009;9,89;6,62;2014;0
FLEURY;2010;12,85;9,79;2014;0
FLEURY;2011;6,17;3,55;2014;0
FLEURY;2012;6,25;3,89;2014;0
FLEURY;2013;3,62;1,9;2014;0
FLEURY;2014;5,45;2,67;2014;1
FLEURY;2015;6,48;3,35;2014;1
FLEURY;2016;14,9;7,61;2014;1
FLEURY;2017;18,79;9,09;2014;1
FLEURY;2018;18,95;8,48;2014;1
GERDAU;2002;24,25;5,52;2007;0
GERDAU;2003;27,55;7,98;2007;0
GERDAU;2004;46,62;15,17;2007;0
GERDAU;2005;34,58;12,71;2007;0
GERDAU;2006;28,91;10,7;2007;0
GERDAU;2007;20,04;15,78;2007;1
GERDAU;2008;16,04;11,85;2007;1
GERDAU;2009;6,06;2,52;2007;1
GERDAU;2010;12,2;5,73;2007;1
GERDAU;2011;7,91;4,2;2007;1
ITAU UNIBANCO;2010;18,39;1,72;2015;0
ITAU UNIBANCO;2011;19,39;1,79;2015;0
ITAU UNIBANCO;2012;17,36;1,38;2015;0
ITAU UNIBANCO;2013;19,62;1,61;2015;0
ITAU UNIBANCO;2014;21,73;1,94;2015;0
ITAU UNIBANCO;2015;22,93;2,05;2015;1
ITAU UNIBANCO;2016;17,49;1,74;2015;1
ITAU UNIBANCO;2017;16,4;1,69;2015;1
ITAU UNIBANCO;2018;17,04;1,65;2015;1
ITAU UNIBANCO;2019;18,61;1,7;2015;1
ITAUSA;2007;25,44;1,33;2012;0
ITAUSA;2008;16,27;0,42;2012;0
ITAUSA;2009;19,86;0,64;2012;0
ITAUSA;2010;17,18;1,82;2012;0
ITAUSA;2011;16,62;1,72;2012;0
ITAUSA;2012;15,41;1,38;2012;1
ITAUSA;2013;16,71;14,34;2012;1
ITAUSA;2014;19,32;16,79;2012;1
ITAUSA;2015;18,79;16,4;2012;1
